# KPI基準定義 正本（2026-08-10 ユーザーより提示）
# このファイルはシステムに投入されている値の突合用の「正本」である。
# DBの内容がこのファイルと食い違う場合、このファイルが正しい。
#
# ============================================================
# 【1】ランク基準テーブル（33項目 × 5ランク = 165行）
# 列: 項目No / 項目名 / ランク / 基準（表示用） / 下限 / 上限 / 境界の判定条件 / 単位 / 評価方向 / A水準の型 / 制御可能性 / 対象等級 / 検索キー
# 空欄は「なし」を意味する（下限なし＝下限側の制約なし、上限なし＝上限側の制約なし）
# ============================================================
1	等級要件達成率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Beginner／Regular／Chief／AM／Manager	1-A
1	等級要件達成率	B	80%以上 100%未満	80	100	80 ≦ x < 100	%	高いほど良い			Beginner／Regular／Chief／AM／Manager	1-B
1	等級要件達成率	C	60%以上 80%未満	60	80	60 ≦ x < 80	%	高いほど良い			Beginner／Regular／Chief／AM／Manager	1-C
1	等級要件達成率	D	40%以上 60%未満	40	60	40 ≦ x < 60	%	高いほど良い			Beginner／Regular／Chief／AM／Manager	1-D
1	等級要件達成率	E	40%未満		40	x < 40	%	高いほど良い			Beginner／Regular／Chief／AM／Manager	1-E
2	ヒヤリ報告件数	A	24件以上	24		24 ≦ x	件	多いほど良い	基準超過型	内部完結	Regular／Chief／AM／Manager	2-A
2	ヒヤリ報告件数	B	18件以上 24件未満	18	24	18 ≦ x < 24	件	多いほど良い			Regular／Chief／AM／Manager	2-B
2	ヒヤリ報告件数	C	12件以上 18件未満	12	18	12 ≦ x < 18	件	多いほど良い			Regular／Chief／AM／Manager	2-C
2	ヒヤリ報告件数	D	6件以上 12件未満	6	12	6 ≦ x < 12	件	多いほど良い			Regular／Chief／AM／Manager	2-D
2	ヒヤリ報告件数	E	6件未満		6	x < 6	件	多いほど良い			Regular／Chief／AM／Manager	2-E
3	報告書送付率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Regular／Chief／AM／Manager	3-A
3	報告書送付率	B	98%以上 100%未満	98	100	98 ≦ x < 100	%	高いほど良い			Regular／Chief／AM／Manager	3-B
3	報告書送付率	C	95%以上 98%未満	95	98	95 ≦ x < 98	%	高いほど良い			Regular／Chief／AM／Manager	3-C
3	報告書送付率	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Regular／Chief／AM／Manager	3-D
3	報告書送付率	E	90%未満		90	x < 90	%	高いほど良い			Regular／Chief／AM／Manager	3-E
4	昇給率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Chief／AM／Manager	4-A
4	昇給率	B	90%以上 100%未満	90	100	90 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	4-B
4	昇給率	C	80%以上 90%未満	80	90	80 ≦ x < 90	%	高いほど良い			Chief／AM／Manager	4-C
4	昇給率	D	70%以上 80%未満	70	80	70 ≦ x < 80	%	高いほど良い			Chief／AM／Manager	4-D
4	昇給率	E	70%未満		70	x < 70	%	高いほど良い			Chief／AM／Manager	4-E
5	見学会参加率	A	105%以上	105		105 ≦ x	%	高いほど良い	計画超過型	外部影響	Chief／AM／Manager	5-A
5	見学会参加率	B	100%以上 105%未満	100	105	100 ≦ x < 105	%	高いほど良い			Chief／AM／Manager	5-B
5	見学会参加率	C	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	5-C
5	見学会参加率	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	5-D
5	見学会参加率	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	5-E
6	単価率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Chief／AM／Manager	6-A
6	単価率	B	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	6-B
6	単価率	C	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	6-C
6	単価率	D	85%以上 90%未満	85	90	85 ≦ x < 90	%	高いほど良い			Chief／AM／Manager	6-D
6	単価率	E	85%未満		85	x < 85	%	高いほど良い			Chief／AM／Manager	6-E
7	面談実施率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	AM／Manager	7-A
7	面談実施率	B	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			AM／Manager	7-B
7	面談実施率	C	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			AM／Manager	7-C
7	面談実施率	D	85%以上 90%未満	85	90	85 ≦ x < 90	%	高いほど良い			AM／Manager	7-D
7	面談実施率	E	85%未満		85	x < 85	%	高いほど良い			AM／Manager	7-E
8	残業率	A	95%以下		95	x ≦ 95	%	低いほど良い（逆転指標）	予算削減型（逆転）	内部完結	Manager	8-A
8	残業率	B	95%超 100%以下	95	100	95 < x ≦ 100	%	低いほど良い（逆転指標）			Manager	8-B
8	残業率	C	100%超 105%以下	100	105	100 < x ≦ 105	%	低いほど良い（逆転指標）			Manager	8-C
8	残業率	D	105%超 110%以下	105	110	105 < x ≦ 110	%	低いほど良い（逆転指標）			Manager	8-D
8	残業率	E	110%超	110		110 < x	%	低いほど良い（逆転指標）			Manager	8-E
9	売上達成率	A	105%以上	105		105 ≦ x	%	高いほど良い	計画超過型	外部影響	Chief／AM／Manager	9-A
9	売上達成率	B	100%以上 105%未満	100	105	100 ≦ x < 105	%	高いほど良い			Chief／AM／Manager	9-B
9	売上達成率	C	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	9-C
9	売上達成率	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	9-D
9	売上達成率	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	9-E
10	利用率90％以上	A	105%以上	105		105 ≦ x	%	高いほど良い	計画超過型	外部影響	Chief／AM／Manager	10-A
10	利用率90％以上	B	100%以上 105%未満	100	105	100 ≦ x < 105	%	高いほど良い			Chief／AM／Manager	10-B
10	利用率90％以上	C	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	10-C
10	利用率90％以上	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	10-D
10	利用率90％以上	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	10-E
11	スタッフ定着率	A	95%以上	95		95 ≦ x	%	高いほど良い	高水準型	外部影響	AM／Manager	11-A
11	スタッフ定着率	B	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			AM／Manager	11-B
11	スタッフ定着率	C	85%以上 90%未満	85	90	85 ≦ x < 90	%	高いほど良い			AM／Manager	11-C
11	スタッフ定着率	D	80%以上 85%未満	80	85	80 ≦ x < 85	%	高いほど良い			AM／Manager	11-D
11	スタッフ定着率	E	80%未満		80	x < 80	%	高いほど良い			AM／Manager	11-E
12	加算取得率	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Chief／AM／Manager	12-A
12	加算取得率	B	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	12-B
12	加算取得率	C	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	12-C
12	加算取得率	D	80%以上 90%未満	80	90	80 ≦ x < 90	%	高いほど良い			Chief／AM／Manager	12-D
12	加算取得率	E	80%未満		80	x < 80	%	高いほど良い			Chief／AM／Manager	12-E
13	利用者満足度	A	90%以上	90		90 ≦ x	%	高いほど良い	高水準型	外部影響	Chief／AM／Manager	13-A
13	利用者満足度	B	80%以上 90%未満	80	90	80 ≦ x < 90	%	高いほど良い			Chief／AM／Manager	13-B
13	利用者満足度	C	70%以上 80%未満	70	80	70 ≦ x < 80	%	高いほど良い			Chief／AM／Manager	13-C
13	利用者満足度	D	60%以上 70%未満	60	70	60 ≦ x < 70	%	高いほど良い			Chief／AM／Manager	13-D
13	利用者満足度	E	60%未満		60	x < 60	%	高いほど良い			Chief／AM／Manager	13-E
14	新規契約件数	A	105%以上	105		105 ≦ x	%	高いほど良い	計画超過型	外部影響	Chief／AM／Manager	14-A
14	新規契約件数	B	100%以上 105%未満	100	105	100 ≦ x < 105	%	高いほど良い			Chief／AM／Manager	14-B
14	新規契約件数	C	95%以上 100%未満	95	100	95 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	14-C
14	新規契約件数	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	14-D
14	新規契約件数	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	14-E
15	欠員日数	A	0日（発生なし）		0	x ≦ 0	日	少ないほど良い（逆転指標）	ゼロ型	内部完結	AM／Manager	15-A
15	欠員日数	B	1日	0	1	0 < x ≦ 1	日	少ないほど良い（逆転指標）			AM／Manager	15-B
15	欠員日数	C	2〜3日	1	3	1 < x ≦ 3	日	少ないほど良い（逆転指標）			AM／Manager	15-C
15	欠員日数	D	4〜6日	3	6	3 < x ≦ 6	日	少ないほど良い（逆転指標）			AM／Manager	15-D
15	欠員日数	E	7日以上	6		6 < x	日	少ないほど良い（逆転指標）			AM／Manager	15-E
16	モニタリング実施率100％	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Chief／AM／Manager	16-A
16	モニタリング実施率100％	B	98%以上 100%未満	98	100	98 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	16-B
16	モニタリング実施率100％	C	95%以上 98%未満	95	98	95 ≦ x < 98	%	高いほど良い			Chief／AM／Manager	16-C
16	モニタリング実施率100％	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	16-D
16	モニタリング実施率100％	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	16-E
17	個別支援計画期限遵守100％	A	100%以上	100		100 ≦ x	%	高いほど良い	完全達成型	内部完結	Chief／AM／Manager	17-A
17	個別支援計画期限遵守100％	B	98%以上 100%未満	98	100	98 ≦ x < 100	%	高いほど良い			Chief／AM／Manager	17-B
17	個別支援計画期限遵守100％	C	95%以上 98%未満	95	98	95 ≦ x < 98	%	高いほど良い			Chief／AM／Manager	17-C
17	個別支援計画期限遵守100％	D	90%以上 95%未満	90	95	90 ≦ x < 95	%	高いほど良い			Chief／AM／Manager	17-D
17	個別支援計画期限遵守100％	E	90%未満		90	x < 90	%	高いほど良い			Chief／AM／Manager	17-E
